Player Name,Player ID,Team,Overall Grade,Solo Tackles,Assists,Forced Fumbles,Sacks,Interceptions,Offense Snaps Played,Penalties,Sacks Allowed,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Reception,Carries,Rushing Yards,Rushing Touchdowns,Yards Per Attempt,Fumbles,Dropbacks,Attempts,Passing Yards,Passing Touchdowns,Punts,Punt Gross Avg.,Long,Pinned Inside the 20,Kickoffs,FG Attempted,FG Made,50+ FG Attempted,50+ FG Made,PAT Attempted,PAT Made
Ronald Ollie,24760,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raven Greene,24750,TB,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Eaton,24780,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Warner,25770,TB,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig James,26360,NYJ,79.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dj Reed,26940,NYJ,83.5,49.0,5.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Jackson,27010,JAX,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siran Neal,27130,BUF,35.8,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tejan Koroma,27150,KC,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Romello Brooker,27260,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raequan Williams,27300,CAR,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyree Kinnel,27380,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Alexander,27710,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Hedlund,28040,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Mack,28070,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
